timestamp,electricity_load_mwh,heat_load_mwh,pv_generation_mwh,grid_import_net_mwh,grid_import_gross_mwh,grid_export_net_mwh,grid_export_gross_mwh,dh_heat_delivered_mwh_th,hp_output_mwh_th,grid_import_emissions_kg,dh_emissions_kg,total_emissions_kg,dh_to_building_mwh_th,grid_import_mwh,grid_export_mwh,total_load_mwh,hs_to_storage_mwh_th
2025-01-01 00:00:00,0.02204255750447227,0.18012598519226178,-0.0,0.10484638184328918,0.10698610392172365,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.10484638184328918,-0.0,0.20216854269673404,0.0002999999999999947
2025-01-01 01:00:00,0.020714176153846162,0.14088249343205161,-0.0,0.10600231611904365,0.10816562869290168,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.10600231611904365,-0.0,0.16159666958589777,0.0002999999999999947
2025-01-01 02:00:00,0.018869869762969588,0.13464294244088845,-0.0,0.10212301309160166,0.10420715621592005,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.10212301309160166,-0.0,0.15351281220385804,0.0002999999999999947
2025-01-01 03:00:00,0.0169502267039356,0.14794303797468356,-0.0,0.19008800712327625,0.19396735420742475,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.19008800712327625,-0.0,0.16489326467861914,0.27318107199963715
2025-01-01 04:00:00,0.015360672048300536,0.196874253642226,-0.0,0.245,0.25,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.245,-0.0,0.21223492569052654,0.4279646901443621
2025-01-01 05:00:00,0.014309898179785334,0.29210950561261045,-0.0,0.0100169287258,0.010221355842653062,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0100169287258,-0.0,0.3064194037923958,-0.0
2025-01-01 06:00:00,0.014023242262969587,0.2981848578934798,-0.0,0.018316211716909996,0.01869001195603061,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.018316211716909996,-0.0,0.3122081001564494,-0.0
2025-01-01 07:00:00,0.014700409494633273,0.28800453785526625,-0.0,0.06898803157846302,0.07039595059026839,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.06898803157846302,-0.0,0.3027049473498995,-0.0
2025-01-01 08:00:00,0.01702918997763864,0.2811081920229281,-0.0,0.1159881987820986,0.11835530487969245,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.1159881987820986,-0.0,0.2981373820005667,-0.0
2025-01-01 09:00:00,0.021246251417710194,0.2664945068067829,0.000950093351346,0.11206816021580228,0.11435526552632885,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.11206816021580228,-0.0,0.2877407582244931,-0.0
2025-01-01 10:00:00,0.02597472224060823,0.25697098160974446,0.0116201746434,0.10684252262036867,0.10902298226568231,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.10684252262036867,-0.0,0.28294570385035267,-0.0
2025-01-01 11:00:00,0.03025534616726297,0.24777585383329354,0.0178904877366,0.23770111400898836,0.24255215715202894,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.23770111400898836,-0.0,0.2780312000005565,0.42885496918576355
2025-01-01 12:00:00,0.03288902657871198,0.24334248865536184,0.0210266480723,0.12369611038350584,0.12622052079949575,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.12369611038350584,-0.0,0.27623151523407385,0.0017000000000000348
2025-01-01 13:00:00,0.03395630325134168,0.24022271315978022,0.0196307259906,0.11026579114477225,0.11251611341303291,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.11026579114477225,-0.0,0.2741790164111219,0.0017000000000000348
2025-01-01 14:00:00,0.03443777103756708,0.24022271315978022,0.0143596890001,0.10612541006842277,0.1082912347636967,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.10612541006842277,-0.0,0.2746604841973473,0.0017000000000000348
2025-01-01 15:00:00,0.03507017987924865,0.24711905899211845,0.00493582135715,0.11028692583373774,0.11253767942218137,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.11028692583373774,-0.0,0.2821892388713671,0.0017000000000000348
2025-01-01 16:00:00,0.039098806153846165,0.26009075710532603,-0.0,0.05960450295312601,0.06082092138074083,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.05960450295312601,-0.0,0.2991895632591722,-0.0
2025-01-01 17:00:00,0.04604894825581395,0.2728982565082398,-0.0,0.0322342637791,0.032892105897040814,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0322342637791,-0.0,0.31894720476405375,-0.0
2025-01-01 18:00:00,0.045008395827370304,0.2843921662288034,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.32940056205617374,-0.0
2025-01-01 19:00:00,0.03965767163237925,0.2917811081920229,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3314387798244022,-0.0
2025-01-01 20:00:00,0.035791301310375674,0.2888255314067351,-0.0,0.10994849258935216,0.11219233937688997,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.10994849258935216,-0.0,0.3246168327171108,0.0002999999999999947
2025-01-01 21:00:00,0.03200606258050089,0.2640315261523764,-0.0,0.14416012449972992,0.14710216785686728,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.14416012449972992,-0.0,0.2960375887328773,0.0006006012024047935
2025-01-01 22:00:00,0.02758084596601073,0.22331024599952234,-0.0,0.07785079966937129,0.07943959149935846,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.07785079966937129,-0.0,0.25089109196553305,-0.0
2025-01-01 23:00:00,0.023041957634168157,0.16419871029376643,-0.0,0.07775181798025012,0.07933858977576543,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.07775181798025012,-0.0,0.1872406679279346,0.0002999999999999947
2025-01-02 00:00:00,0.01929145775044723,0.12643300692620016,-0.0,0.08086037112572009,0.08251058278134703,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.08086037112572009,-0.0,0.1457244646766474,0.0002999999999999947
2025-01-02 01:00:00,0.016721578470483004,0.1389121089085264,-0.0,0.1042896156174893,0.10641797511988704,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.1042896156174893,-0.0,0.1556336873790094,0.0002999999999999947
2025-01-02 02:00:00,0.015083178501788908,0.1320157630761882,-0.0,0.10038175835250882,0.10243036566582532,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.10038175835250882,-0.0,0.14709894157797712,0.0002999999999999947
2025-01-02 03:00:00,0.014072642052772808,0.14515165989968953,-0.0,0.245,0.25,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.245,-0.0,0.15922430195246234,0.43805006058379226
2025-01-02 04:00:00,0.013625521864937389,0.19441127298781946,-0.0,0.19500961510709047,0.19898940317050048,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.19500961510709047,-0.0,0.20803679485275686,0.2634254395373754
2025-01-02 05:00:00,0.014218633403398927,0.28833293527585385,-0.0,0.1038248595492344,0.10594373423391265,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.1038248595492344,-0.0,0.30255156867925276,0.0017000000000000348
2025-01-02 06:00:00,0.016387611829159213,0.29490088368760453,-0.0,0.1062516387374615,0.10842003952802194,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.1062516387374615,-0.0,0.31128849551676374,0.0017000000000000348
2025-01-02 07:00:00,0.019298885849731662,0.28488476235968485,-0.0,0.10414241070515341,0.10626776602566675,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.10414241070515341,-0.0,0.3041836482094165,-0.0
2025-01-02 08:00:00,0.02190501480322004,0.277660019106759,-0.0,0.07245315541431953,0.07393179123910155,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.07245315541431953,-0.0,0.2995650339099791,-0.0
2025-01-02 09:00:00,0.02429557553667263,0.26238953904943874,0.00387080151962,0.07053088344326902,0.07197028922782553,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.07053088344326902,-0.0,0.28668511458611134,-0.0
2025-01-02 10:00:00,0.026139480201252237,0.2528660138524003,0.0107813293067,0.10820343384588871,0.11041166718968236,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.10820343384588871,-0.0,0.27900549405365255,-0.0
2025-01-02 11:00:00,0.027773341636851526,0.24383508478624322,0.0150843846134,0.12633270119711687,0.12891091958889478,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.12633270119711687,-0.0,0.27160842642309474,0.0084660679320272
2025-01-02 12:00:00,0.02910200635062612,0.23940171960831147,0.0142694091657,0.12039815540540619,0.12285526061776142,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.12039815540540619,-0.0,0.26850372595893757,0.0017000000000000348
