Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Denmark,DNK,2024-12-31 23:00:00,2025-01-01 00:00:00,21.75
Denmark,DNK,2025-01-01 00:00:00,2025-01-01 01:00:00,28.27
Denmark,DNK,2025-01-01 01:00:00,2025-01-01 02:00:00,26.66
Denmark,DNK,2025-01-01 02:00:00,2025-01-01 03:00:00,11.86
Denmark,DNK,2025-01-01 03:00:00,2025-01-01 04:00:00,9.08
Denmark,DNK,2025-01-01 04:00:00,2025-01-01 05:00:00,5.99
Denmark,DNK,2025-01-01 05:00:00,2025-01-01 06:00:00,5.93
Denmark,DNK,2025-01-01 06:00:00,2025-01-01 07:00:00,8.3
Denmark,DNK,2025-01-01 07:00:00,2025-01-01 08:00:00,9.54
Denmark,DNK,2025-01-01 08:00:00,2025-01-01 09:00:00,12.24
Denmark,DNK,2025-01-01 09:00:00,2025-01-01 10:00:00,41.34
Denmark,DNK,2025-01-01 10:00:00,2025-01-01 11:00:00,43.51
Denmark,DNK,2025-01-01 11:00:00,2025-01-01 12:00:00,43.02
Denmark,DNK,2025-01-01 12:00:00,2025-01-01 13:00:00,44.29
Denmark,DNK,2025-01-01 13:00:00,2025-01-01 14:00:00,46.24
Denmark,DNK,2025-01-01 14:00:00,2025-01-01 15:00:00,50.61
Denmark,DNK,2025-01-01 15:00:00,2025-01-01 16:00:00,59.47
Denmark,DNK,2025-01-01 16:00:00,2025-01-01 17:00:00,64.99
Denmark,DNK,2025-01-01 17:00:00,2025-01-01 18:00:00,61.74
Denmark,DNK,2025-01-01 18:00:00,2025-01-01 19:00:00,58.74
Denmark,DNK,2025-01-01 19:00:00,2025-01-01 20:00:00,55.14
Denmark,DNK,2025-01-01 20:00:00,2025-01-01 21:00:00,50.62
Denmark,DNK,2025-01-01 21:00:00,2025-01-01 22:00:00,46.7
Denmark,DNK,2025-01-01 22:00:00,2025-01-01 23:00:00,36.5
Denmark,DNK,2025-01-01 23:00:00,2025-01-02 00:00:00,33.39
Denmark,DNK,2025-01-02 00:00:00,2025-01-02 01:00:00,25.17
Denmark,DNK,2025-01-02 01:00:00,2025-01-02 02:00:00,31.4
Denmark,DNK,2025-01-02 02:00:00,2025-01-02 03:00:00,23.41
Denmark,DNK,2025-01-02 03:00:00,2025-01-02 04:00:00,20.2
Denmark,DNK,2025-01-02 04:00:00,2025-01-02 05:00:00,23.98
Denmark,DNK,2025-01-02 05:00:00,2025-01-02 06:00:00,48.21
Denmark,DNK,2025-01-02 06:00:00,2025-01-02 07:00:00,58.35
Denmark,DNK,2025-01-02 07:00:00,2025-01-02 08:00:00,65.67
Denmark,DNK,2025-01-02 08:00:00,2025-01-02 09:00:00,65.27
Denmark,DNK,2025-01-02 09:00:00,2025-01-02 10:00:00,68.98
Denmark,DNK,2025-01-02 10:00:00,2025-01-02 11:00:00,73.54
Denmark,DNK,2025-01-02 11:00:00,2025-01-02 12:00:00,78.16
Denmark,DNK,2025-01-02 12:00:00,2025-01-02 13:00:00,78.87
Denmark,DNK,2025-01-02 13:00:00,2025-01-02 14:00:00,79.24
Denmark,DNK,2025-01-02 14:00:00,2025-01-02 15:00:00,79.96
Denmark,DNK,2025-01-02 15:00:00,2025-01-02 16:00:00,81.46
Denmark,DNK,2025-01-02 16:00:00,2025-01-02 17:00:00,80.92
Denmark,DNK,2025-01-02 17:00:00,2025-01-02 18:00:00,74.95
Denmark,DNK,2025-01-02 18:00:00,2025-01-02 19:00:00,63.18
Denmark,DNK,2025-01-02 19:00:00,2025-01-02 20:00:00,57.11
Denmark,DNK,2025-01-02 20:00:00,2025-01-02 21:00:00,47.31
Denmark,DNK,2025-01-02 21:00:00,2025-01-02 22:00:00,40.0
Denmark,DNK,2025-01-02 22:00:00,2025-01-02 23:00:00,24.77
Denmark,DNK,2025-01-02 23:00:00,2025-01-03 00:00:00,7.74
Denmark,DNK,2025-01-03 00:00:00,2025-01-03 01:00:00,5.58
Denmark,DNK,2025-01-03 01:00:00,2025-01-03 02:00:00,5.6
Denmark,DNK,2025-01-03 02:00:00,2025-01-03 03:00:00,5.57
Denmark,DNK,2025-01-03 03:00:00,2025-01-03 04:00:00,5.48
Denmark,DNK,2025-01-03 04:00:00,2025-01-03 05:00:00,6.87
Denmark,DNK,2025-01-03 05:00:00,2025-01-03 06:00:00,17.84
Denmark,DNK,2025-01-03 06:00:00,2025-01-03 07:00:00,45.29
Denmark,DNK,2025-01-03 07:00:00,2025-01-03 08:00:00,61.04
Denmark,DNK,2025-01-03 08:00:00,2025-01-03 09:00:00,62.24
Denmark,DNK,2025-01-03 09:00:00,2025-01-03 10:00:00,58.18
Denmark,DNK,2025-01-03 10:00:00,2025-01-03 11:00:00,56.76
Denmark,DNK,2025-01-03 11:00:00,2025-01-03 12:00:00,59.8
Denmark,DNK,2025-01-03 12:00:00,2025-01-03 13:00:00,58.86
Denmark,DNK,2025-01-03 13:00:00,2025-01-03 14:00:00,62.42
Denmark,DNK,2025-01-03 14:00:00,2025-01-03 15:00:00,67.82
Denmark,DNK,2025-01-03 15:00:00,2025-01-03 16:00:00,73.59
Denmark,DNK,2025-01-03 16:00:00,2025-01-03 17:00:00,82.28
Denmark,DNK,2025-01-03 17:00:00,2025-01-03 18:00:00,82.97
Denmark,DNK,2025-01-03 18:00:00,2025-01-03 19:00:00,79.03
Denmark,DNK,2025-01-03 19:00:00,2025-01-03 20:00:00,73.23
Denmark,DNK,2025-01-03 20:00:00,2025-01-03 21:00:00,67.41
Denmark,DNK,2025-01-03 21:00:00,2025-01-03 22:00:00,65.0
Denmark,DNK,2025-01-03 22:00:00,2025-01-03 23:00:00,58.12
Denmark,DNK,2025-01-03 23:00:00,2025-01-04 00:00:00,57.81
Denmark,DNK,2025-01-04 00:00:00,2025-01-04 01:00:00,51.6
Denmark,DNK,2025-01-04 01:00:00,2025-01-04 02:00:00,45.14
Denmark,DNK,2025-01-04 02:00:00,2025-01-04 03:00:00,35.97
Denmark,DNK,2025-01-04 03:00:00,2025-01-04 04:00:00,43.08
Denmark,DNK,2025-01-04 04:00:00,2025-01-04 05:00:00,58.23
Denmark,DNK,2025-01-04 05:00:00,2025-01-04 06:00:00,72.65
Denmark,DNK,2025-01-04 06:00:00,2025-01-04 07:00:00,85.02
Denmark,DNK,2025-01-04 07:00:00,2025-01-04 08:00:00,91.47
Denmark,DNK,2025-01-04 08:00:00,2025-01-04 09:00:00,94.2
Denmark,DNK,2025-01-04 09:00:00,2025-01-04 10:00:00,91.76
Denmark,DNK,2025-01-04 10:00:00,2025-01-04 11:00:00,90.18
Denmark,DNK,2025-01-04 11:00:00,2025-01-04 12:00:00,86.46
Denmark,DNK,2025-01-04 12:00:00,2025-01-04 13:00:00,85.96
Denmark,DNK,2025-01-04 13:00:00,2025-01-04 14:00:00,92.11
Denmark,DNK,2025-01-04 14:00:00,2025-01-04 15:00:00,98.62
Denmark,DNK,2025-01-04 15:00:00,2025-01-04 16:00:00,105.73
Denmark,DNK,2025-01-04 16:00:00,2025-01-04 17:00:00,133.23
Denmark,DNK,2025-01-04 17:00:00,2025-01-04 18:00:00,144.65
Denmark,DNK,2025-01-04 18:00:00,2025-01-04 19:00:00,125.0
Denmark,DNK,2025-01-04 19:00:00,2025-01-04 20:00:00,103.59
Denmark,DNK,2025-01-04 20:00:00,2025-01-04 21:00:00,100.01
Denmark,DNK,2025-01-04 21:00:00,2025-01-04 22:00:00,94.86
Denmark,DNK,2025-01-04 22:00:00,2025-01-04 23:00:00,88.83
Denmark,DNK,2025-01-04 23:00:00,2025-01-05 00:00:00,87.2
Denmark,DNK,2025-01-05 00:00:00,2025-01-05 01:00:00,81.56
Denmark,DNK,2025-01-05 01:00:00,2025-01-05 02:00:00,78.21
Denmark,DNK,2025-01-05 02:00:00,2025-01-05 03:00:00,75.93
Denmark,DNK,2025-01-05 03:00:00,2025-01-05 04:00:00,77.35
Denmark,DNK,2025-01-05 04:00:00,2025-01-05 05:00:00,80.73
Denmark,DNK,2025-01-05 05:00:00,2025-01-05 06:00:00,92.11
Denmark,DNK,2025-01-05 06:00:00,2025-01-05 07:00:00,117.55
Denmark,DNK,2025-01-05 07:00:00,2025-01-05 08:00:00,171.97
Denmark,DNK,2025-01-05 08:00:00,2025-01-05 09:00:00,156.49
Denmark,DNK,2025-01-05 09:00:00,2025-01-05 10:00:00,159.9
Denmark,DNK,2025-01-05 10:00:00,2025-01-05 11:00:00,143.47
Denmark,DNK,2025-01-05 11:00:00,2025-01-05 12:00:00,136.51
Denmark,DNK,2025-01-05 12:00:00,2025-01-05 13:00:00,133.87
Denmark,DNK,2025-01-05 13:00:00,2025-01-05 14:00:00,137.47
Denmark,DNK,2025-01-05 14:00:00,2025-01-05 15:00:00,181.0
Denmark,DNK,2025-01-05 15:00:00,2025-01-05 16:00:00,244.13
Denmark,DNK,2025-01-05 16:00:00,2025-01-05 17:00:00,276.41
Denmark,DNK,2025-01-05 17:00:00,2025-01-05 18:00:00,207.03
Denmark,DNK,2025-01-05 18:00:00,2025-01-05 19:00:00,136.38
Denmark,DNK,2025-01-05 19:00:00,2025-01-05 20:00:00,120.77
Denmark,DNK,2025-01-05 20:00:00,2025-01-05 21:00:00,101.98
Denmark,DNK,2025-01-05 21:00:00,2025-01-05 22:00:00,97.08
Denmark,DNK,2025-01-05 22:00:00,2025-01-05 23:00:00,89.31
Denmark,DNK,2025-01-05 23:00:00,2025-01-06 00:00:00,83.34
Denmark,DNK,2025-01-06 00:00:00,2025-01-06 01:00:00,81.43
Denmark,DNK,2025-01-06 01:00:00,2025-01-06 02:00:00,78.54
Denmark,DNK,2025-01-06 02:00:00,2025-01-06 03:00:00,76.67
Denmark,DNK,2025-01-06 03:00:00,2025-01-06 04:00:00,76.76
Denmark,DNK,2025-01-06 04:00:00,2025-01-06 05:00:00,78.36
Denmark,DNK,2025-01-06 05:00:00,2025-01-06 06:00:00,78.82
Denmark,DNK,2025-01-06 06:00:00,2025-01-06 07:00:00,83.84
Denmark,DNK,2025-01-06 07:00:00,2025-01-06 08:00:00,89.41
Denmark,DNK,2025-01-06 08:00:00,2025-01-06 09:00:00,93.36
Denmark,DNK,2025-01-06 09:00:00,2025-01-06 10:00:00,98.59
Denmark,DNK,2025-01-06 10:00:00,2025-01-06 11:00:00,101.78
Denmark,DNK,2025-01-06 11:00:00,2025-01-06 12:00:00,100.5
Denmark,DNK,2025-01-06 12:00:00,2025-01-06 13:00:00,96.29
Denmark,DNK,2025-01-06 13:00:00,2025-01-06 14:00:00,93.8
Denmark,DNK,2025-01-06 14:00:00,2025-01-06 15:00:00,96.52
Denmark,DNK,2025-01-06 15:00:00,2025-01-06 16:00:00,104.15
Denmark,DNK,2025-01-06 16:00:00,2025-01-06 17:00:00,110.39
Denmark,DNK,2025-01-06 17:00:00,2025-01-06 18:00:00,105.15
Denmark,DNK,2025-01-06 18:00:00,2025-01-06 19:00:00,100.56
Denmark,DNK,2025-01-06 19:00:00,2025-01-06 20:00:00,93.39
Denmark,DNK,2025-01-06 20:00:00,2025-01-06 21:00:00,89.1
Denmark,DNK,2025-01-06 21:00:00,2025-01-06 22:00:00,87.82
Denmark,DNK,2025-01-06 22:00:00,2025-01-06 23:00:00,81.18
Denmark,DNK,2025-01-06 23:00:00,2025-01-07 00:00:00,86.15
Denmark,DNK,2025-01-07 00:00:00,2025-01-07 01:00:00,82.46
Denmark,DNK,2025-01-07 01:00:00,2025-01-07 02:00:00,77.87
Denmark,DNK,2025-01-07 02:00:00,2025-01-07 03:00:00,76.21
Denmark,DNK,2025-01-07 03:00:00,2025-01-07 04:00:00,74.78
Denmark,DNK,2025-01-07 04:00:00,2025-01-07 05:00:00,75.26
